id,hyp+,hyp-
0,Martelly inaugurated a new Electoral Council (EC) composed of nine members today.,Martelly inaugurated a new Electoral Council (EC) composed of ten members today.
1,"It is relatively easy in Italian, because most words are pronounced exactly as they are written","It is relatively difficult in Italian, because most words are pronounced exactly as they are written"
2,"Mysticism can be distinguished from other forms of cult and belief with a religious character by its emphasis on direct personal experience of a state of consciousness, particularly in the case of a peaceful, intuitive, happy, or even ecstatic personality.","Mysticism can be distinguished from other forms of cult and belief with a scientific character by its emphasis on direct personal experience of a state of consciousness, particularly in the case of a peaceful, intuitive, happy, or even ecstatic personality."
3,Northern had sought help due to its exposure to the effects of the subprime crisis in 2007.,Northern had sought help due to its exposure to the effects of the subprime crisis in 2010.
4,"Over time, as the population adapts to its new environment, it starts to resemble the other population less and less.","Over time, as the population adapts to its new environment, it starts to resemble the other population more and more."
5,"The archipelago is a state in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.","The archipelago is a state in free association with New Zealand, located in Europe, in the middle of the Atlantic Ocean."
6,"Although Goma is reasonably safe, any visit must be subject to research to understand the state of the battles that persist in the North Kivu province.","Although Goma is reasonably safe, any visit must be subject to research to understand the state of the battles that persist in the South Kivu province."
7,Also provide copies of the regulations and contacts to fellow workers and family members or friends at home who are ready to help you.,Also provide copies of the regulations and contacts to fellow workers and family members or friends at school who are ready to help you.
8,"Among popular sports are football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey, and Formula 1.","Among popular sports are football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey, and tennis."
9,"The management company of the group, HK Management Inc, did not initially give a reason for the cancellation on September 20, but cited logistical reasons the next day.","The management company of the group, HK Management Inc, did not initially give a reason for the cancellation on September 19, but cited logistical reasons the next day."
10,"In April this year, a temporary restraining order was issued by Judge Glynn against the establishment to require the release of people detained for more than 24 hours after admission and who had not been heard by a court commissioner.","In June this year, a temporary restraining order was issued by Judge Glynn against the establishment to require the release of people detained for more than 24 hours after admission and who had not been heard by a court commissioner."
11,The problem started on January 1st when dozens of local residents began complaining to the Obanazawa post office that they had not received their traditional and regular New Year's cards.,The problem started on December 31st when dozens of local residents began complaining to the Obanazawa post office that they had not received their traditional and regular Christmas cards.
12,"So, an entry permit for the backcountry for any start date during the month of May becomes valid on January 1st.","So, an entry permit for the backcountry for any start date during the month of April becomes valid on January 1st."
13,The manager suggested to the cashier to find a new job.,The manager suggested to the cashier to start a new job.
14,The librarian helped someone choose a book.,The librarian helped someone write a book.
15,The sheriff questioned the cashier.,The sheriff questioned the manager.
16,The driver recognized the receptionist.,The driver recognized the concierge.
17,The librarian guided the director to the shelf.,The librarian guided the director to the desk.
18,The manager fired the librarian.,The manager hired the librarian.
19,The writer tried to deceive the saleswoman.,The writer tried to deceive the customer.
20,The hairstylist befriended the chef.,The hairstylist befriended the doctor.
21,The male baker was examined by the doctor.,The female baker was examined by the doctor.
22,The concierge warned the child not to walk on the slippery floor.,The concierge warned the child not to walk on the hot floor.
23,The chef became friends with the storekeeper.,The chef became friends with the manager.
24,The farmer took the maid to the station.,The farmer took the maid to the park.
25,"This species is now part of the lizard family known as Iguanidae, subfamily Polychrotinae, and is no longer classified in the family Polychrotidae, currently invalid.","This species is now part of the lizard family known as Iguanidae, subfamily Polychrotinae, and is no longer classified in the family Lizards, currently invalid."
26,"Marshall Scott III has been superintendent since June 1, 2017, the director of studies is Lisa Moya, the director of technology is Josh Solis.","Marshall Scott III has been superintendent since January 1, 2017, the director of studies is John Moya, the director of technology is James Solis."
27,"It was added by Gregor (number 202) to the list of New Testament manuscripts, as Scrivener saw in 1883.","It was added by Gregor (number 202) to the list of Old Testament manuscripts, as Scrivener saw in 1953."
28,"Ruiter, who was born in Leiden, played for FC Utrecht, FC Den Bosch, Excelsior, RKC Waalwijk and FC Emmen.","Ruiter, who was born in Leiden, played for FC Utrecht, FC Den Bosch, Excelsior, Manchester United and FC Emmen."
29,Saito is the leader of the Saito Neko Quartet and is known for his numerous collaborations with musician Ringo Sheena.,Saito is the leader of the Saito Neko Quartet and is known for his numerous collaborations with musician John Sheena.
30,"However, Madonna, Prince, and Michael Jackson were influences for the album.","However, Madonna, Prince, and Michael Jackson are influences for the single."
31,The Swiss pioneer John Sutter (1803 - 1880) arrived in Upper California in August 1839 with other European-American colonists.,The Swiss pioneer John Sutter (1803 - 1880) arrived in Upper California in July 1839 with other European-American colonists.
32,"Alice Anna Catherine, the second daughter of Octavius Warre Malet, married Thomas at the British Consulate in Cologne on June 24, 1852.","Alice Anna Catherine, the second daughter of Octavius Warre Malet, married Thomas at the British Consulate in Rome on June 24, 1852."
33,"The meadow is located on a high and snowy plain, summers are hot, winters are cold.","The meadow is located on a low and snowy plain, summers are cold, winters are hot."
34,"He was a posthumous child of Sir John Lade, 1st Baronet; his mother was the sister of brewer Henry Thrale.","He was a posthumous child of Sir John Lade, 1st Baronet; his mother was the sister of baker Henry Thrale."
35,"In 2012, Gil joined the television program - Remake of the Salvador - Royal Films 'Mundo Man ay Magunaw' in the role of Jennifer Pena.","In 2018, Gil joined the television program - Remake of the Salvador - Royal Films 'Mundo Man ay Magunaw' in the role of Jennifer Pena."
36,"In 'Detection Unlimited', a detective novel written by Georgette Heyer, a character is compared to Armstrong.","In 'Detection Unlimited', a detective novel written by Georgette Heyer, a character is compared to Einstein."
37,"On February 20, 1959, Prime Minister John Diefenbaker completed the project and the five dismantled arrows have been completed.","On January 20, 1959, Prime Minister John Diefenbaker completed the project and the five dismantled arrows have been completed."
38,"He died on June 30, 1954, from stomach cancer in Claremore, Oklahoma.","He died on January 30, 1954, from stomach cancer in Los Angeles, California."
39,"Nvidia officially announced the NVIDIA TITAN V on December 7, 2017.","Nvidia officially announced the NVIDIA TITAN V on January 7, 2017."
40,"If the 1983 local elections had been legislative, the socialist left would have obtained 8 parliamentary seats.","If the 1983 local elections had been presidential, the socialist left would have obtained 8 parliamentary seats."
41,"In January 2013, it was announced that after the closure of Disney Interactive, Warren Spector had left Junction Point Studios.","In February 2013, it was announced that after the closure of Disney Interactive, Warren Spector had left Junction Point Studios."
42,"The next track was created by Ron's brother, Robert Fuller, in 1986.","The next track was created by Ron's sister, Robert Fuller, in 1990."
43,"Nvidia officially announced the NVIDIA TITAN V on December 7, 2017.","Nvidia officially announced the NVIDIA TITAN V on January 7, 2017."
44,A biography of Chris Sievey has been written by Manchester author Mick Middles and was published in November 2014.,A biography of Chris Sievey has been written by Manchester author Mick Middles and was published in December 2014.
45,"In 1964, the diocese was theoretically restored as a titular bishopric of the lowest rank.","In 1965, the diocese was theoretically restored as a titular bishopric of the lowest rank."
46,"It was added by Gregor (number 202) to the list of manuscripts of the New Testament, Scrivener saw it in 1883.","It was added by Gregor (number 202) to the list of manuscripts of the Old Testament, Scrivener saw it in 1973."
47,"Agranat was born in Louisville, Kentucky, in 1906, in a Jewish-Zionist family.","Agranat was born in New York, in 1906, in a Catholic family."
48,David Allan Coe joined Warren Haynes' touring and recording group in 1980 at the age of 20.,David Allan Coe joined Warren Haynes' touring and recording group in 1979 at the age of 20.
