id,hyp+,hyp-
0,Er graduierte an der College of Arts & Sciences 1950 und war ein bedeutender Spender für diese Einrichtung.,Er graduierte an der renommierten College of Arts & Sciences 1950 und war ein bedeutender Spender für diese Einrichtung.
1,Die meisten sind unabhängige Nationen oder assoziiert mit Frankreich und bekannt als Luxus-Strand-Resorts.,Die meisten sind unabhängige Nationen oder assoziiert mit Frankreich und bekannt als Luxus-Strand-Resorts mit erstklassigen Hotels.
2,"Aber es gibt viele Dinge über Vögel, die wie ein Dinosaurier aussehen.","Aber es gibt viele Dinge über Vögel, die sehr wie Dinosaurier aussehen."
3,"Die Polizei hatte Schwierigkeiten, ihre Geschwindigkeitsradargeräte zu verwenden, um festzustellen, wie schnell Mr. Reid fuhr, weil Black Beauty so niedrig ist, und die Polizei gelang es erstmal, Mr. Reid zuuhr, als er auf 160 km/h abgebremst war.","Die Polizei hatte Schwierigkeiten, ihre Geschwindigkeitsradargeräte zu verwenden, um festzustellen, wie schnell Mr. Reid fuhr, weil Black Beauty so niedrig und lang ist, und die Polizei gelang es erstmal, Mr. Reid zuuhr, als er auf 160 km/h abgebremst war."
4,"Der Giza-Plateau, auch Giza-Nekropole in der ägyptischen Tal der Toten, enthält mehrere Pyramiden (davon ist die größte die Pyramide), mehrere kleine Gräber, mehrere Tempel und den großen Sphinx.","Der Giza-Plateau, auch Giza-Nekropole in der ägyptischen Tal der Toten, enthält mehrere sehr großen Pyramiden (davon ist die größte die Pyramide), mehrere kleine Gräber, mehrere Tempel und den großen Sphinx."
5,"Der kanadische Premierminister Stephen Harper hat sich geeignet, das Regierungsgesetz 'Clean Act' an ein parteiübergreifendes Gremium zur Überprüfung zu senden, bevor seine zweite Lesung, nach dem 25-minütigen Treffen mit dem NDP-Führer Jack Layton im PMO am Dienstag.","Der kanadische Premierminister Stephen Harper hat sich geeignet, das Regierungsgesetz 'Clean Act' an ein parteiübergreifendes Gremium zur Überprüfung zu senden, bevor seine zweite Lesung, nach dem 25-minütigen Treffen mit dem NDP-Führer Jack Layton im PMO am Dienstag, nach einem langen Gespräch."
6,Der Tempel von Artemis wurde am 21. Juli 356 v. Chr. in einem Brandanschlag durch Herostratus zerstört.,Der Tempel von Artemis wurde am 21. Juli 356 v. Chr. in einem Brandanschlag durch den griechischen König Herostratus zerstört.
7,"Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Union-Spiel der Tri-Nations-Gruppe im Royal-Stadion in Rustenburg, Südafrika, besiegt.","Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Union-Spiel der Tri-Nations-Gruppe im Royal-Stadion in Rustenburg, Südafrika, besiegt und damit den Titel gewonnen."
8,"Die Bedingung ist stabil, obwohl er zu Hause für einige Tage isoliert sein wird.","Die Bedingung ist stabil, obwohl er zu Hause für einige Wochen isoliert sein wird."
9,"Die Welt hat mehr als 5.000 verschiedene Sprachen, mehr als zwanzig mit mehr als 50 Millionen Sprechern.","Die Welt hat über 5.000 verschiedene Sprachen, mehr als 20 mit über 100 Millionen Sprechern."
