id,hyp+,hyp-
0,"In countries, the offering of luxury guesthouses has today been elevated to a form of art.","In the countries, the offering of luxury guesthouses has today been elevated to a form of high art."
1,"This is common practice in the UK, but Scottish justice works differently, and the courts have considered the publication of photos as potentially harmful.","This is common practice in the UK, but Scottish justice works differently, and the courts have considered the publication of photos as potentially harmful in Scotland."
2,"Based on this fossil, it can be said that the separation occurred much earlier than expected from the evidence","Based on this fossil, it can be said that the separation occurred much earlier than expected from the fossil evidence"
3,"We will never pass a car, build a well in our backyard, travel to examine ancient ruins, or renovate our neighbor""s house.","We will never pass a car, build a well in our backyard, travel to examine ancient ruins, and renovate our neighbor""s house."
4,"A minesweeper of the Avenger class, the ship was on its way to Palawan.","A minesweeper of the Avenger class, the ship was on its way to Palawan Island."
5,The tip was a special shrine for the god.,The peak was a sacred place for the god.
6,Cold weather is perhaps the only danger that the unprepared might encounter.,Cold weather is perhaps the only danger that the unprepared might encounter in the mountains.
7,"Flying near an airport or over a crowd of people is almost always a bad idea, even if it is not illegal in their area.","Flying near an airport or over a crowd of people is always a bad idea, even if it is not illegal in their area."
8,The US Navy announced that it is investigating the incident.,The US Navy announced that it is investigating the ongoing incident.
9,"In the last 20 years, the selection in Uptown Charlotte has grown exponentially.","In the last 20 years, the exponential growth of selection in Uptown Charlotte has been remarkable."
10,"Perry declared that he would'return to Texas to evaluate the result of tonight's primary and decide whether there is a further way for me in this race', but later said he would stay in the race and participate in the primaries in South Carolina on January 21.","Perry declared that he would return to Texas to evaluate the result of tonight's primary and decide whether there is a further way for him in this race, but later said he would stay in the race and participate in the South Carolina primary on January 21, and then consider running for president."
11,Huhne and Pryce are to appear at Westminster Magistrates Court on February 16th.,"Huhne and Pryce will appear at Westminster Magistrates Court on February 16th, and they will be questioned about their financial scandals."
12,"Bachmann, who won the Ames straw poll in August, decided to end her election campaign.","Bachmann, the winner of the Ames straw poll in August, decided to end her presidential campaign."
13,"For the victims of real estate fraud, a meeting was held on March 20 at the East Bay Community Law Center after it became clear that many families were seeking legal help to resist evictions.","For the victims of real estate fraud, a meeting was held on March 20 at the East Bay Community Law Center to provide legal assistance and support."
14,"The cancellation policies vary, but by the end of March, most cancellation policies did not apply until July 2020, when the Olympic Games were planned.","The cancellation policies vary, but by the end of March, most cancellation policies did not apply until July 2020, when the Olympic Games were planned, due to the pandemic."
15,The rock band should tour the United States and Canada until September 16th.,"The rock band should tour the United States, Canada, and Europe until September 16th."
