id,hyp+,hyp-
0,"Né à la capitale croate,, Bobek est devenu célèbre en jouant pour le Partizan Belgrade.","Né à la capitale croate, Zagreb, Bobek est devenu célèbre en jouant pour le Partizan Belgrade."
1,Utiliser des applications de navigation GPS peut être la méthode la plus facile et la plus pratique pour se diriger lorsque vous êtes hors de votre pays d'origine.,Utiliser des applications de navigation GPS peut être la méthode la plus facile et la plus pratique pour se diriger dans un pays étranger.
2,"Seuls les effets du catastrophisme, et non la dépression et la peur, étaient conditionnels des sessions de PA hebdomadaires régulières.","Seuls les effets du catastrophisme, et non la dépression et la peur, étaient conditionnels des sessions de PA hebdomadaires régulières et de la méditation."
3,Il peut être personnalisé pour qu'il soit facile à lire et avec autant ou peu de couleur que souhaité.,"Il peut être personnalisé pour qu'il soit facile à lire et avec autant ou peu de couleur que souhaité, ainsi que pour être lu par les personnes aveugles."
4,Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie produite lorsque des atomes sont fusionnés ensemble pour former des éléments plus lourds.,Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie produite lorsque des atomes sont fusionnés ensemble pour former des éléments plus lourds et plus complexes.
5,"C""est une espèce de la famille des Dromaeosauridae et est un cousin du Velociraptor.","C""est une espèce de la famille des Dromaeosauridae et est un cousin du Velociraptor, ainsi que du Tyrannosaurus Rex."
6,Le président des États-Unis George W. a accueilli l'annonce.,Le président des États-Unis George W. a accueilli avec enthousiasme l'annonce.
7,Le défilé de bâtiments qui composent la silhouette de Kong a été comparé à une barre de graphique étincelante qui est rendue apparente par la présence des eaux du port de Victoria.,Le défilé de bâtiments qui composent la silhouette de Hong Kong a été comparé à une barre de graphique étincelante qui est rendue apparente par la présence des eaux du port de Victoria.
8,Les dépenses de guerre de l'impérialisme américain dans la conquête ont été payées par le peuple philippin lui-même.,Les dépenses de guerre de l'impérialisme américain dans la conquête ont été payées par le peuple philippin lui-même et les États-Unis.
9,"Avec des racines dans les Tours de Course de Barcelone et les Tours de Course de Copenhague, il a été rapidement rejoint par les Tours de Course basées à Prague et d'autres.","Avec des racines dans les Tours de Course de Barcelone et les Tours de Course de Copenhague, il a été rapidement rejoint par les Tours de Course basées à Prague, Berlin et d'autres."
10,Couchsurfing a été fondé en janvier 2004 après que le programmeur informatique Casey Fenton a trouvé un billet d'avion pas cher pour l'Islande mais n'avait pas de lieu où séjourner.,Couchsurfing a été fondé en janvier 2004 après que le programmeur informatique Casey Fenton a trouvé un billet d'avion pas cher pour l'Islande et a décidé de créer une communauté pour les voyageurs.
11,"Ainsi, un permis de randonnée pour une date de départ quelconque en mai devient disponible le 1er janvier.","Ainsi, un permis de randonnée pour une date de départ quelconque en mai devient disponible le 1er janvier de l'année suivante."
12,Les premiers cas de maladie de cette saison ont été signalés en fin juillet.,Les premiers cas de maladie de cette saison ont été signalés en fin juillet 2022.
13,"La société de gestion du groupe, HK Management Inc., n'a donné aucune raison initiale lorsque ils ont annulé le 20 septembre, mais a blâmé des raisons logistiques le lendemain jour.","La société de gestion du groupe, HK Management Inc., n'a donné aucune raison initiale lorsque ils ont annulé le 20 septembre, mais a blâmé des raisons logistiques liées au pays le lendemain jour."
14,Plusieurs personnes ont vérifié la découverte à l'aide de différents matériels et logiciels au début de février et elle a été annoncée mardi.,Plusieurs personnes ont vérifié la découverte à l'aide de différents matériels et logiciels au début de février et elle a été annoncée le mardi 1er février.
15,"Le 24 septembre 1759, Arthur Guinness a signé un bail de 9 000 ans pour la brasserie de la porte Saint-James à Dublin, en Irlande.","Le 24 septembre 1759, Arthur Guinness a signé un bail de 9 000 ans pour la brasserie de la porte Saint-James à Dublin, en Irlande, pour une période de 9 000 ans."
16,"Depuis son lancement, The Onion est devenue une véritable empire de parodie de nouvelles, avec une édition papier, un site web qui a accueilli 5 000 000 visiteurs uniques en octobre, des annonces personnelles, un réseau de nouvelles en continu, des podcasts et un atlas mondial récemment lancé appelé Notre Monde Connerie.","Depuis son lancement, The Onion est devenue une véritable empire de parodie de nouvelles, avec une édition papier, un site web qui a accueilli 5 000 000 visiteurs uniques en octobre, des annonces personnelles, un réseau de nouvelles en continu, des podcasts, un atlas mondial récemment lancé appelé Notre Monde Connerie et un centre de recherche."
17,"L'affaire a commencé le 1er janvier, lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de Nouvel An traditionnelles et régulières.","L'affaire a commencé le 1er janvier, lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de Nouvel An traditionnelles et régulières, ainsi que des cadeaux."
