id,source,hyp+,hyp-,prompt
0,It has enabled us to support and encourage an exchange of experiences and to pursue activities to raise the level of competence throughout Europe.,The program has enabled the exchange of experiences and the pursuit of activities to raise the level of competence throughout Europe.,The program has enabled us to support and encourage an exchange of experiences and to pursue activities to raise the level of competence throughout the world.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
1,"Therefore, I am calling for an increase in the premiums for all varieties of leaf tobacco for the 1999, 2000 and 2001 harvests.","The premiums for all varieties of leaf tobacco should be increased for the 1999, 2000 and 2001 harvests.","The premiums for all varieties of leaf tobacco should be decreased for the 1999, 2000 and 2001 harvests.","
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
2,"In other words, a person may be prevented from coming near their victim when there is reason to fear that violent acts will be carried out again.",A person may be prevented from coming near their victim when there is reason to fear that violent acts will be carried out again.,A person may be prevented from coming near their victim when there is reason to believe that violent acts will be carried out again.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
3,None of my 34 amendments were adopted and my arguments against the ridiculous administrative burden proposed were not heeded.,The proposed administrative burden is ridiculous and my arguments against it were not heeded.,My amendments were adopted.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
4,"The final key feature of the report is its orientation. It aims to protest against certain drifts that are becoming evident, and I will mention two instances.",The report's orientation aims to protest against certain drifts that are becoming evident.,The report's orientation aims to promote the continuation of certain drifts.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
5,It is high time an appropriate level of social protection was created at European level for those whose work does not fit into the usual pattern.,An appropriate level of social protection should be created at European level for those whose work does not fit into the usual pattern.,The creation of an appropriate level of social protection at European level is unnecessary.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
6,"These sums, however, have still not produced the desired effect: the substantial fall in the average earnings of the Palestinians is proof of this.",The substantial fall in the average earnings of the Palestinians is a result of the sums not producing the desired effect.,The substantial fall in the average earnings of the Palestinians is not related to the sums not producing the desired effect.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
7,"Mr President, the approach adopted by the rapporteur to the Commission\'s 1999 annual economic report is comprehensive and also sensible.",,,
8,"The Berlin summit, which will focus solely on Agenda 2000, is of particular importance for the future of the European Union.",The Berlin summit will significantly impact the future of the European Union.,The Berlin summit will have little impact on the future of the European Union.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
9,"As a result, I cannot promise the chairman of the Committee on Budgets that there will be 100 % funding for the financial programme.","The financial programme will be fully funded, as promised to the chairman of the Committee on Budgets.","The financial programme will not be fully funded, due to budgetary constraints.","
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
10,"We voted for Amendments Nos 22 to 25, even though they do not take adequate measures to prevent these problems from happening.","The amendments voted for, Nos. 22 to 25, do not adequately address the problems they aim to prevent.","The amendments voted for, Nos. 22 to 25, are comprehensive and effective solutions to the problems they address.","
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
11,"Secondly, we say that the type approval rules as from 2005 must provide in precise terms that new cars must be recycling-friendly.",The type approval rules as from 2005 must provide in precise terms that new cars must be recycling-friendly.,The type approval rules as from 2005 must provide in precise terms that new cars must be environmentally friendly.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
12,"B4-0188/99 by Mrs d\'Ancona, on behalf of the PSE Group, on the death penalty against Greg Summers - Texas, USA; Leonard Peltier",,,
13,"We struggle with water on a daily basis in the Netherlands - in the polders, the delta where the Meuse, the Rhine and the Scheldt flow into the sea.",The Netherlands struggles with water on a daily basis due to its location in the polders and the delta where major rivers flow into the sea.,The Netherlands struggles with water on a daily basis due to its high population density.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
14,"It may lower costs by 10 % and is, of course, only applicable over the shorter road legs of the combined transport journey.","The combined transport journey may lower costs by 10%, and is applicable over shorter road legs.",The combined transport journey will not lower costs.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
15,"Nothing has been done in the 27 years since then, while we have liberalised sea transport, air transport and road transport.","The liberation of sea, air, and road transport has not occurred in the last 27 years.","The liberation of sea, air, and road transport has occurred in the last 27 years.","
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
16,"This concerns the applicant countries which are still in the process of membership negotiations, but which in the meantime are being discriminated against.",The applicant countries that are still in the process of membership negotiations are being discriminated against.,The applicant countries that are still in the process of membership negotiations are not being discriminated against.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
17,"I would be grateful if you could tell me whether or not Rambouillet was a European Union initiative or a Franco-British initiative, as I did not quite understand this point.",Rambouillet was a European Union initiative.,Rambouillet was a Franco-British initiative.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
18,"Madam President, I referred earlier to inherited inertia, and this leads me to the third group of amendments, to which Mr Fabre-Aubrespy referred.",The inherited inertia leads to the third group of amendments.,The inherited inertia leads to the second group of amendments.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
19,"Other elements have contributed to the proposal to conclude this partnership agreement, especially the very worrying regional context in Central Asia.",The regional context in Central Asia has significantly influenced the proposal to conclude the partnership agreement.,The proposal to conclude the partnership agreement is primarily due to the presence of other elements.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
20,"A way must also be found to tax all kinds of cross-border capital movements which are carried out for profit, in order to put a brake, albeit in a limited way, on the increase in the volume of parasitic, speculative capital.","A way to tax all kinds of cross-border capital movements carried out for profit will help to limit the increase in the volume of parasitic, speculative capital.","A way to tax all kinds of cross-border capital movements carried out for profit will not have a significant impact on the increase in the volume of parasitic, speculative capital.","
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
21,An important report was also put together under the leadership of Susan Waddington extending the debate to cover the issue of the trade in women.,A report was prepared under Susan Waddington's leadership to extend the debate on trade in women.,A report was prepared under Susan Waddington's leadership to promote the trade in women.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
22,"Over recent years, these have largely been behind the development of a significant number of economic policies, which is good for employment.",Economic policies developed in recent years have positively impacted employment.,Economic policies developed in recent years have negatively impacted employment.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
23,"The presidency is very much of this view, as economic and political stability in Jordan is a crucial factor in peace-keeping in the Middle East.",Economic and political stability in Jordan is crucial for peace-keeping in the Middle East.,The presidency is not significantly related to peace-keeping in the Middle East.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
24,"In addition, the Commission is unable to accept Amendments Nos 27 and 28, because they go beyond the scope of this programme.",The Commission is unable to accept Amendments Nos 27 and 28 because they go beyond the scope of this programme.,The Commission is unable to accept Amendments Nos 27 and 28 because they are not related to the programme.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
25,"On the contrary, things came to a head in the crisis and we now know for certain that this Augean stable at any rate is going to be cleaned out.","The crisis brought about a culmination of events, leading to a complete overhaul of the Augean stable.","The crisis brought about a surge in demand for the Augean stable, resulting in its swift cleaning out.","
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
26,"As you will remember, on 30 October 1997, the Commission presented a Community initiative for the European Capital of Culture.",The Commission presented a Community initiative for the European Capital of Culture on 30 October 1997.,The Commission presented a Community initiative for the European Capital of Culture on 30 October 1998.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
27,A second point on the timing: this Committee of Experts will make its report available - if I recall correctly - on 15 March.,The Committee of Experts will make its report available on 15 March.,The Committee of Experts will make its report available on 16 March.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
28,There are four points in relation to which the Committee on Agriculture and Rural Development has made changes which we believe will be adopted.,The Committee on Agriculture and Rural Development has made changes to four points that will be adopted.,The Committee on Agriculture and Rural Development has made changes to four points that will not be adopted.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
29,"In the Nordic countries there are excellent examples of this, and for that reason I recommend that Amendment No 1 be rejected.",The Nordic countries provide strong examples of the benefits of rejecting Amendment No 1.,The Nordic countries provide strong examples of the benefits of passing Amendment No 1.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
30,"It is we politicians who are most concerned, because we understand the link between energy consumption and CO2 emissions.",Politicians are most concerned about energy consumption and CO2 emissions because they understand the link between the two.,Energy consumption and CO2 emissions are not necessarily linked.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
31,"Having pressed the Commission to present this proposal, the Socialist Group - to which I have the privilege of belonging - now supports it enthusiastically.",The Socialist Group supports the proposal enthusiastically after having pressed the Commission to present it.,The Socialist Group is opposed to the proposal.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
32,"For example, unemployment is very high in Réunion and in the West Indies. Therefore, we should not devote our efforts to integrating unlimited numbers of immigrants.",High unemployment rates in Réunion and the West Indies necessitate limiting immigration.,High unemployment rates in Réunion and the West Indies necessitate increasing immigration.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
33,"A uniform phased reduction of 3 % will primarily penalise the sectors of production which receive the most aid, such as tobacco growing.",A uniform phased reduction of 3 % will primarily penalise the sectors of production which receive the most aid.,A uniform phased reduction of 3 % will primarily benefit the sectors of production which receive the most aid.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
34,The situation in India is appalling as 50 million women are missing because they are eliminated right from the stage of conception.,The situation in India is appalling as a large number of women are being eliminated from the stage of conception.,The situation in India is appalling as a large number of women are missing due to illness.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
35,"Nevertheless, we want to limit the Council regulations to general provisions and to cover the remaining provisions in implementing regulations.","The Council regulations will be limited to general provisions, and the remaining provisions will be implemented separately.",The Council regulations will be expanded to cover a wider range of topics.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
36,I hope that the Euro-Mediterranean Conference to held in Stuttgart between 4 and 6 April will enable us to make progress in that direction.,The Euro-Mediterranean Conference will enable us to make progress in the desired direction.,The Euro-Mediterranean Conference will not enable us to make progress in the desired direction.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
37,"In 1996, the Commission submitted its proposal to have Turkey included in the Socrates, Youth for Europe and Leonardo programmes.","The Commission proposed to include Turkey in the Socrates, Youth for Europe and Leonardo programmes in 1996.",The Commission proposed to include Turkey in the Erasmus programme in 1996.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
38,"We cannot accept Amendments Nos 19, 21 and 51, which are aimed at regulating the import and export of genetically modified organisms.","The proposed amendments Nos. 19, 21 and 51 are aimed at regulating the import and export of genetically modified organisms.","The proposed amendments Nos. 19, 21 and 51 are aimed at regulating the production and distribution of genetically modified organisms.","
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
39,"I would also like to draw attention to Amendments Nos 27, 29 and 32 on public inquiries or consultation in connection with trial releases.","The author is referring to Amendments Nos 27, 29 and 32 on public inquiries or consultation in connection with trial releases.","The author is referring to Amendments Nos 27, 29 and 32 on public inquiries or consultation in connection with criminal justice reform.","
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
40,"A true strategic partnership should be established with this great country of a billion inhabitants, compared with 1.2 billion in China.",A true strategic partnership should be established with a great country of a billion inhabitants,"A true strategic partnership should be established with a great country of a billion inhabitants, regardless of its size compared to China","
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
41,"This is a positive development, and I can of course endorse the outcome which appears in the form of Compromise Amendments Nos 189 to 201.",The outcome of the compromise amendments is positive and the author endorses it.,The outcome of the compromise amendments is negative and the author does not endorse it.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
42,"For instance, in the summer it would perhaps be possible to set up surveillance operations to detect the flimsy craft used to make the crossing.",It would be possible to set up surveillance operations to detect the flimsy craft used to make the crossing in the summer.,The flimsy craft used to make the crossing would be impossible to detect in the summer.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
43,"The increase in the number of staff employed must be strictly controlled, and this is a point on which I disagree with the Committee of Wise Men.",The number of staff employed must be controlled to prevent an increase.,The Committee of Wise Men is correct in their assessment of the situation.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
44,"The public must be aware of the collective responsibility borne by the whole Commission, but also of every individual Commissioner\'s accountability.",The public should be informed of the collective responsibility and individual accountability of Commissioners.,The public should not be informed of the collective responsibility and individual accountability of Commissioners.,"
       <start_of_turn>user
       Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.
       Provide the result in the following format: {answer_format}
       Src: {source} <end_of_turn>
       Result:
       <start_of_turn>model
      "
