id,source,hyp+,hyp-,prompt
0,Kvinnor kommer att möta högre bilförsäkringspremier.,Kvinnor kommer att möta högre bilförsäkringspremier.,Kvinnor kommer att möta lägre bilförsäkringspremier.,"
      <start_of_turn>användare
      Som en AI-modell är din uppgift att generera två parafraser baserade på den angivna källtexten. Den första parafrasen, märkt som 'hyp+', ska stödjas av källtexten. Den andra parafrasen, märkt som 'hyp-', ska inte stödjas av källtexten.
      Här är ett exempel för att illustrera detta:
      Källa: Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.
      hyp+: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som stöds av källan. Den säger i princip samma sak som källan: intäkterna har minskat i de flesta kommunerna. Formuleringen är annorlunda, men betydelsen är densamma. Därför märks den som 'hyp+'.
      hyp-: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som inte stöds av källan. Den säger motsatsen till vad källan säger: intäkterna har ökat i de flesta kommunerna. Detta motsäger informationen i källan. Därför märks den som 'hyp-'.
      Nu, med den angivna källtexten nedan, generera 'hyp+' och 'hyp-' parafraser och ge resultatet i följande format: {answer_format}
      Källa: {source}
      <end_of_turn>
      Resultat:
      <start_of_turn>modell
      "
1,"Rörelseintäkterna var 1,45 miljarder dollar, en ökning jämfört med förra årets resultat på 1,38 miljarder dollar. ","Rörelseintäkterna var 1,45 miljarder dollar, en ökning jämfört med förra årets resultat på 1,38 miljarder dollar.","Rörelseintäkterna var 1,45 miljarder dollar, en minskning jämfört med förra årets resultat på 1,38 miljarder dollar.","
      <start_of_turn>användare
      Som en AI-modell är din uppgift att generera två parafraser baserade på den angivna källtexten. Den första parafrasen, märkt som 'hyp+', ska stödjas av källtexten. Den andra parafrasen, märkt som 'hyp-', ska inte stödjas av källtexten.
      Här är ett exempel för att illustrera detta:
      Källa: Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.
      hyp+: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som stöds av källan. Den säger i princip samma sak som källan: intäkterna har minskat i de flesta kommunerna. Formuleringen är annorlunda, men betydelsen är densamma. Därför märks den som 'hyp+'.
      hyp-: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som inte stöds av källan. Den säger motsatsen till vad källan säger: intäkterna har ökat i de flesta kommunerna. Detta motsäger informationen i källan. Därför märks den som 'hyp-'.
      Nu, med den angivna källtexten nedan, generera 'hyp+' och 'hyp-' parafraser och ge resultatet i följande format: {answer_format}
      Källa: {source}
      <end_of_turn>
      Resultat:
      <start_of_turn>modell
      "
2,"Mandela tillbaka på sjukhus i ""allvarligt men stabilt"" tillstånd.",,,
3,Egypten fryser Muslimska brödraskapets tillgångar.,"Egypten fryser Muslimska brödraskapets tillgångar, vilket är ett mått som finansanalytiker följer noga. Intäkterna från mjukvarulicenser minskade med 21 procent till 107,6 miljoner dollar.","Egypten fryser Muslimska brödraskapets tillgångar, vilket är ett mått som finansanalytiker följer noga. Intäkterna från programvarulicenser minskade med 42 procent till 107,6 miljoner dollar.","
      <start_of_turn>användare
      Som en AI-modell är din uppgift att generera två parafraser baserade på den angivna källtexten. Den första parafrasen, märkt som 'hyp+', ska stödjas av källtexten. Den andra parafrasen, märkt som 'hyp-', ska inte stödjas av källtexten.
      Här är ett exempel för att illustrera detta:
      Källa: Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.
      hyp+: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som stöds av källan. Den säger i princip samma sak som källan: intäkterna har minskat i de flesta kommunerna. Formuleringen är annorlunda, men betydelsen är densamma. Därför märks den som 'hyp+'.
      hyp-: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som inte stöds av källan. Den säger motsatsen till vad källan säger: intäkterna har ökat i de flesta kommunerna. Detta motsäger informationen i källan. Därför märks den som 'hyp-'.
      Nu, med den angivna källtexten nedan, generera 'hyp+' och 'hyp-' parafraser och ge resultatet i följande format: {answer_format}
      Källa: {source}
      <end_of_turn>
      Resultat:
      <start_of_turn>modell
      "
4,"P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.",,,
5,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel.,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel.,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel.,"
      <start_of_turn>användare
      Som en AI-modell är din uppgift att generera två parafraser baserade på den angivna källtexten. Den första parafrasen, märkt som 'hyp+', ska stödjas av källtexten. Den andra parafrasen, märkt som 'hyp-', ska inte stödjas av källtexten.
      Här är ett exempel för att illustrera detta:
      Källa: Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.
      hyp+: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som stöds av källan. Den säger i princip samma sak som källan: intäkterna har minskat i de flesta kommunerna. Formuleringen är annorlunda, men betydelsen är densamma. Därför märks den som 'hyp+'.
      hyp-: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som inte stöds av källan. Den säger motsatsen till vad källan säger: intäkterna har ökat i de flesta kommunerna. Detta motsäger informationen i källan. Därför märks den som 'hyp-'.
      Nu, med den angivna källtexten nedan, generera 'hyp+' och 'hyp-' parafraser och ge resultatet i följande format: {answer_format}
      Källa: {source}
      <end_of_turn>
      Resultat:
      <start_of_turn>modell
      "
6,Man som satte eld på sig själv på National Mall dör av skador.,"Man som satte eld på sig själv på National Mall dör av skador, en metrik som övervakas noggrant av politiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.","Man som satte eld på sig själv på National Mall dör av skador, en metrik som övervakas noggrant av politiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.","
      <start_of_turn>användare
      Som en AI-modell är din uppgift att generera två parafraser baserade på den angivna källtexten. Den första parafrasen, märkt som 'hyp+', ska stödjas av källtexten. Den andra parafrasen, märkt som 'hyp-', ska inte stödjas av källtexten.
      Här är ett exempel för att illustrera detta:
      Källa: Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.
      hyp+: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som stöds av källan. Den säger i princip samma sak som källan: intäkterna har minskat i de flesta kommunerna. Formuleringen är annorlunda, men betydelsen är densamma. Därför märks den som 'hyp+'.
      hyp-: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som inte stöds av källan. Den säger motsatsen till vad källan säger: intäkterna har ökat i de flesta kommunerna. Detta motsäger informationen i källan. Därför märks den som 'hyp-'.
      Nu, med den angivna källtexten nedan, generera 'hyp+' och 'hyp-' parafraser och ge resultatet i följande format: {answer_format}
      Källa: {source}
      <end_of_turn>
      Resultat:
      <start_of_turn>modell
      "
7,Romney tillkännager Paul Ryan som vicepresidentkandidat.,"Romney tillkännager Paul Ryan som vicepresidentkandidat. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noggrant, minskade med 21 procent till 107,6 miljoner dollar.","Romney tillkännager Paul Ryan som vicepresidentkandidat. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noggrant, ökade med 21 procent till 107,6 miljoner dollar.","
      <start_of_turn>användare
      Som en AI-modell är din uppgift att generera två parafraser baserade på den angivna källtexten. Den första parafrasen, märkt som 'hyp+', ska stödjas av källtexten. Den andra parafrasen, märkt som 'hyp-', ska inte stödjas av källtexten.
      Här är ett exempel för att illustrera detta:
      Källa: Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.
      hyp+: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som stöds av källan. Den säger i princip samma sak som källan: intäkterna har minskat i de flesta kommunerna. Formuleringen är annorlunda, men betydelsen är densamma. Därför märks den som 'hyp+'.
      hyp-: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som inte stöds av källan. Den säger motsatsen till vad källan säger: intäkterna har ökat i de flesta kommunerna. Detta motsäger informationen i källan. Därför märks den som 'hyp-'.
      Nu, med den angivna källtexten nedan, generera 'hyp+' och 'hyp-' parafraser och ge resultatet i följande format: {answer_format}
      Källa: {source}
      <end_of_turn>
      Resultat:
      <start_of_turn>modell
      "
8,"Läkare säger att en eller båda pojkarna kan dö, och att vissa hjärnskador är möjliga om de överlever.","Läkare säger att en eller båda pojkarna kan dö, och att vissa hjärnskador är möjliga om de överlever.","Det är ovanligt att överleva en eller båda injurerande injektioner, och det är inte möjligt att återska den förlorade förmågan på en person som har överlevt en injurande injektion.","
      <start_of_turn>användare
      Som en AI-modell är din uppgift att generera två parafraser baserade på den angivna källtexten. Den första parafrasen, märkt som 'hyp+', ska stödjas av källtexten. Den andra parafrasen, märkt som 'hyp-', ska inte stödjas av källtexten.
      Här är ett exempel för att illustrera detta:
      Källa: Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.
      hyp+: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som stöds av källan. Den säger i princip samma sak som källan: intäkterna har minskat i de flesta kommunerna. Formuleringen är annorlunda, men betydelsen är densamma. Därför märks den som 'hyp+'.
      hyp-: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som inte stöds av källan. Den säger motsatsen till vad källan säger: intäkterna har ökat i de flesta kommunerna. Detta motsäger informationen i källan. Därför märks den som 'hyp-'.
      Nu, med den angivna källtexten nedan, generera 'hyp+' och 'hyp-' parafraser och ge resultatet i följande format: {answer_format}
      Källa: {source}
      <end_of_turn>
      Resultat:
      <start_of_turn>modell
      "
9,Nordkorea säger att en amerikansk medborgare ska ställas inför rätta.,"Nordkorea säger att en amerikansk medborgare ska ställas inför rätta. En metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.","Nordkorea säger att en amerikansk medborgare ska ställas inför rätta. En metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.","
      <start_of_turn>användare
      Som en AI-modell är din uppgift att generera två parafraser baserade på den angivna källtexten. Den första parafrasen, märkt som 'hyp+', ska stödjas av källtexten. Den andra parafrasen, märkt som 'hyp-', ska inte stödjas av källtexten.
      Här är ett exempel för att illustrera detta:
      Källa: Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.
      hyp+: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som stöds av källan. Den säger i princip samma sak som källan: intäkterna har minskat i de flesta kommunerna. Formuleringen är annorlunda, men betydelsen är densamma. Därför märks den som 'hyp+'.
      hyp-: Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.
      Detta är en parafras som inte stöds av källan. Den säger motsatsen till vad källan säger: intäkterna har ökat i de flesta kommunerna. Detta motsäger informationen i källan. Därför märks den som 'hyp-'.
      Nu, med den angivna källtexten nedan, generera 'hyp+' och 'hyp-' parafraser och ge resultatet i följande format: {answer_format}
      Källa: {source}
      <end_of_turn>
      Resultat:
      <start_of_turn>modell
      "
